designation                 , ra                   , dec                 , phot_g_mean_mag, bp_rp       , parallax           , l                     , b
Gaia DR3 2067518817314952576, 305.55710787667306   , 40.25667361         ,       2.1137252, 0.9935477   ,                    ,  78.14858771430696    , 1.8670742956199529
Gaia DR3 4038055447778237312, 274.4060904518451    , -36.76242932        ,       2.1164951, 1.8272674   , 23.885852068095137 , 356.43206131464103    , -9.676931227
Gaia DR3 1279798794197267072, 221.24648617076684   , 27.074315757773466  ,       2.1833525, 1.1840065   , 13.82667260913517  ,  39.38482017601684    , 64.78442409557411
Gaia DR3 160886283751041408 ,  74.24843702624405   , 33.16601472318802   ,       2.1975422, 1.4451852   , 7.249065034494049  , 170.5901021512878     , -6.159553238
Gaia DR3 1869302503206674304, 311.5547590119282    , 33.97170031         ,       2.2109652, 1.1279578   ,                    ,  75.95348321742945    , -5.715764448
Gaia DR3 5300300156538723328, 139.2723686431627    , -59.27517582        ,       2.213786 , 0.55295897  ,                    , 278.4590622108124     , -7.011166067
Gaia DR3 4302054339959905920, 296.56498571046956   , 10.613252703828636  ,       2.223692 , 1.4782449   , 5.589928355256642  ,  48.726049644665174   , -7.081229779
Gaia DR3 6127791439360208640, 190.3779930225551    , -48.9597836         ,       2.2270558, 0.5140896   ,                    , 301.25388486370434    , 13.879623366524248
Gaia DR3 423018377034969216 ,   2.2990654282325518 , 59.14897576410493   ,       2.232691 , 0.7120874   ,                    , 117.53024038996212    , -3.279032336
Gaia DR3 3220756843825383936,  83.00165624929525   , -0.299078893        ,       2.2487726, 0.17005849  ,                    , 203.8558962511241     , -17.73973799
Gaia DR3 5534788672055388032, 120.89585713760054   , -40.00307351        ,       2.2542944, 0.22848153  ,                    , 255.97574292793368    , -4.705758971
Gaia DR3 3377072212924335488,  93.71906923878569   , 22.50675368193066   ,       2.2620378, 1.8538378   ,                    , 188.8531246338439     , 2.518198356
Gaia DR3 1222646935698492160, 233.67254376294218   , 26.714295174747274  ,       2.2693703, 0.529583    , 42.24080076261629  ,  41.86923490282656    , 53.77174103751394
Gaia DR3 5111187420714898304,  59.507642022011794  , -13.50901261        ,       2.2707934, 1.689486    , 17.00162879163835  , 205.16290447534314    , -44.47273409
Gaia DR3 1563590579347125632, 200.98237336533253   , 54.92525907860076   ,       2.282647 , 0.5343387   , 40.213284471127004 , 113.10933803176036    , 61.57901562974238
Gaia DR3 4049506483413484672, 275.24868220695066   , -29.82822387        ,       2.296982 , 1.4261992   , 7.846769491115783  ,   3.000851008988761   , -7.154759394
Gaia DR3 6227443304915069056, 226.0172005141403    , -25.28215906        ,       2.3034124, 1.9100549   , 12.538654525627177 , 337.2219675920316     , 28.617743367191242
Gaia DR3 804753180515722624 , 155.58176101601168   , 41.49966386040507   ,       2.32451  , 1.645093    , 17.798718499448466 , 177.90309949981196    , 56.35991866
Gaia DR3 5905821894507108864, 220.4821588727846    , -47.38827312        ,       2.3246517, 0.23071337  ,                    , 321.61056876275006    , 11.436536250144462
Gaia DR3 4429785739602747392, 236.0675744297602    , 6.4258326669088035  ,       2.3253543, 1.3348399   , 43.94497411580315  ,  14.203542621281152   , 44.07858224212571
Gaia DR3 2106630885454013184, 283.83388403904866   , 43.946451132674866  ,       2.3616831, 2.4237096   , 10.440410406499382 ,  73.81547828          , 17.791213600180843
Gaia DR3 5922444483103229952, 261.3248860596135    , -55.52999692        ,       2.3912818, 1.4427056   , 4.560053792219337  , 335.36706860486674    , -11.01288832
Gaia DR3 6407842789021567872, 334.62477862508103   , -60.25977543        ,       2.396663 , 1.438695    , 17.732356212677455 , 330.22141386926734    , -47.96274567
Gaia DR3 856096765753549056 , 165.46097417209683   , 56.38257749355825   ,       2.3985364, 0.49357748  , 38.60307997876443  , 149.1654727081814     , 54.80423185987107
Gaia DR3 3704342295607157120, 193.89877797423057   , 3.3972301950318524  ,       2.4037774, 1.8989389   , 17.40648045        , 305.5084515752932     , 66.24818074632392
Gaia DR3 5961206940987571200, 265.62193838278046   , -39.03009163        ,       2.4227042, 0.19835877  ,                    , 351.0436328619718     , -4.719265403
Gaia DR3 2193192137376175488, 319.64633694354825   , 62.58579604829105   ,       2.428267 , 0.6600125   ,                    , 100.99960187323042    , 9.171597724876875
Gaia DR3 792588939773693568 , 178.45836676657404   , 53.694797326318046  ,       2.4362755, 0.5198331   ,                    , 140.8391386777918     , 61.38502933606373
Gaia DR3 4473334474604992384, 265.8679466          , 4.568012245771951   ,       2.4423249, 1.2892413   , 39.22844495769126  ,  29.213938748586195   , 17.191784089672726
Gaia DR3 3501215734352781440, 188.59681758232725   , -23.39701223        ,       2.448283 , 1.0926499   , 22.00492733579523  , 297.87397176050865    , 39.307226610248094
Gaia DR3 5605797194566011520, 111.0237381697198    , -29.30308298        ,       2.4504085, 0.3395319   ,                    , 242.6164958896361     , -6.485723531
Gaia DR3 2202630001603369856, 325.87694430713873   , 58.78002783444686   ,       2.450726 , 2.2709079   , 0.11902358415373226, 100.59523433426546    , 4.314955698654524
Gaia DR3 4629125170492116224,  56.810583950214635  , -74.23845269        ,       2.4740036, 1.8262122   , 15.07934675483247  , 289.1286670045961     , -37.79830448
Gaia DR3 5310393535853560576, 140.52832321650078   , -55.01061135        ,       2.487886 , 0.24669337  ,                    , 275.88215563550244    , -3.537435208
Gaia DR3 702343774145932544 , 140.2625728404832    , 34.39263287351821   ,       2.488654 , 1.6008933   , 14.704195701416294 , 190.2350329714053     , 44.721329154468556
