id   , designation                 , appmag   , absmag               , bprp          , ra                   , dec                  , ly                 , parallax           , parsec             , from earth X         , from earth Y        , from earth Z         , galactic l            , galactic b
 6476, Gaia DR3 6827419827792618368, 7.0143604, 3.316128380163311    , 0.58980083    , 331.55592542624964   , -14.895946847472953  , 179.0901813475924  ,  18.211830349703572, 54.90936280417726  , 46.658325544993524   , -25.274466679035754 , -14.115244064077716  ,  41.692129117929014   , -49.532737888256584
 6477, Gaia DR3 4036773589046451584, 7.093058 , 3.3951518757279766   , 0.5710058     , 268.6016094211927    , -38.62707554794497   , 179.06330542872752 ,  18.214563794580442, 54.901122600451174 , -1.0466956320402219  , -42.87738685628818  , -34.271962118032334  , 352.4265804453712     , -6.238126133823503
 6478, Gaia DR3 3594183153334105216, 6.445497 , 2.7479981009405443   , 0.7269287     , 179.4382755453273    , -8.548616454826758   , 179.02972809414365 ,  18.217979967466032, 54.89082773094582  , -54.278386843856424  , 0.5321591643003617  , -8.159442213833975   , 280.5036485427615     , 52.04770857293638
 6479, Gaia DR3 1004358968092652544, 5.609718 , 1.9122524614782326   , 1.1062875     ,  97.69602304387136   , 58.16112834050636    , 179.02697766448713 ,  18.218259854179408, 54.889984444403034 , -3.877744148642974   , 28.695414926043853  , 46.63096240532305    , 156.86863350233466    , 19.94485730327873
 6480, Gaia DR3 5496149737501023616, 5.560725 , 1.8637125679617652   , 0.31935835    ,  95.73228671866985   , -56.370049578567894  , 178.98962521122183 ,  18.222061732075826, 54.87853211690781  , -3.035687276908829   , 30.24122272470546   , -45.69361375704546   , 265.15140940117107    , -26.208235333687014
 6481, Gaia DR3 6767903057227289088, 4.579329 , 0.8825787309216877   , -0.081779     , 294.1771467866805    , -24.883724536359477  , 178.96801700784664 ,  18.224261823591643, 54.87190700396334  , 20.386953561794385   , -45.411463800178815 , -23.08889902628292   ,  14.509053822277473   , -20.22888144785969
 6482, Gaia DR3 5896820467691187968, 4.4826813, 0.7860576051528314   , 1.107548      , 212.47730977943647   , -53.439350525474744  , 178.95758533998097 ,  18.22532413925756 , 54.86870863635223  , -27.572213420906152  , -17.550090325586847 , -44.07201565683897   , 314.3804032719429     , 7.824815461390768
 6483, Gaia DR3 3309979154404035072, 4.641709 , 0.945741194220755    , 0.23430204    ,  69.81913777991349   , 15.917885549178793   , 178.90353970786956 ,  18.230829894846018, 54.852138151028825 , 18.197554722122444   , 49.51053096160487   , 15.043715823388723   , 181.8303721115644     , -20.249799237715727
 6484, Gaia DR3 5219141801659280768, 6.2318554, 2.535909618936066    , 0.5473051     , 141.95324375153442   , -71.78091444215153   , 178.9017251420799  ,  18.231014806647273, 54.8515818019843   , -13.50530736282537   , 10.56926216940272   , -52.101760012592884  , 288.2965079893837     , -14.871116954958323
 6485, Gaia DR3 2667335258168556928, 4.641373 , 0.9455891980157975   , 0.250216      , 324.43847284374436   , -7.854310194669084   , 178.88838062252998 ,  18.23237478392839 , 54.84749034895265  , 44.19939281395485    , -31.598787858128976 , -7.495163664199113   ,  46.142799372382896   , -40.13347673055904
 6486, Gaia DR3 274376396502178688 , 7.780698 , 4.085317702295993    , 0.7862797     ,  72.86349073006787   , 55.83580236803312    , 178.85514256669038 ,  18.235763049328316, 54.83729950290363  , 9.073662735161756    , 29.427667113768187  , 45.37411673609679    , 152.16079674087098    , 7.090045082093445
 6487, Gaia DR3 263177252095532416 , 7.044928 , 3.349918829599189    , 0.53692913    ,  82.4713581410997    , 53.432912410831705   , 178.82457696778744 ,  18.238879997951965, 54.827928036825156 , 4.27975936701101     , 32.38289999157898   , 44.03558947836572    , 157.40394172190875    , 10.212872069322358
 6488, Gaia DR3 6590673636935814144, 6.7441993, 3.049841365091766    , 0.6509137     , 323.8072434174828    , -34.330212322866565  , 178.7709546193316  ,  18.244350750070378, 54.81148733101081  , 36.52913272961902    , -26.72819249567696  , -30.91157277418075   ,  10.502939195833036   , -47.35421051127368
 6489, Gaia DR3 1817664729867336704, 4.802192 , 1.1078958678535429   , -0.028207302  , 309.63091206839056   , 21.201195645436627   , 178.76586665162512 ,  18.244870014005826, 54.80992735121388  , 32.59372243096202    , -39.355791013579626 , 19.821682775036845   ,  64.39007236714536    , -11.905521194553126
 6490, Gaia DR3 3850847890679748736, 7.649544 , 3.95535476662017     , 0.8107352     , 143.85492532561926   , 3.9048152493858757   , 178.75706645678613 ,  18.24576820737025 , 54.80722919608597  , -44.155525765072724  , 32.25200251569849   , 3.732325051449209    , 230.1466634906099     , 37.64164613336054
 6491, Gaia DR3 2984889746874340864, 7.8731847, 4.179076662917284    , 0.7285638     ,  79.85652486501978   , -14.768550737141624  , 178.7503824480668  ,  18.24645047093869 , 54.80517986732325  , 9.33307621510566     , 52.16629145161362   , -13.970664437956634  , 216.3516473370481     , -27.1455481757101
 6492, Gaia DR3 5050402157323149952, 7.987617 , 4.293728351714121    , 0.72952414    ,  43.32019559515107   , -34.48821508244035   , 178.7323238026049  ,  18.248294044462398, 54.79964305504265  , 32.86126770497299    , 30.988768302782333  , -31.02956981427      , 236.4914400249322     , -63.1134310316071
 6493, Gaia DR3 6180382180017590784, 6.5112906, 2.8174503620801925   , 0.42539167    , 195.13905992892418   , -33.05159126606824   , 178.7283392247956  ,  18.248700872768545, 54.798421376517865 , -44.33688919182994   , -11.995442848804306 , -29.88672937962388   , 304.8277110057214     , 29.91809640489872
 6494, Gaia DR3 1993726468805788928, 7.0656376, 3.3718751390349953   , 0.581182      , 357.65821515412307   , 54.19802718474841    , 178.72193771724957 ,  18.249354509349672, 54.796458663108936 , 32.02836885345116    , -1.3097882963530338 , 44.44232133027957    , 113.84039551964426    , -7.702419009863861
 6495, Gaia DR3 3208926854625048064, 7.3714437, 3.6778701195030203   , 0.70743036    ,  81.47111351569538   , -6.362783622431967   , 178.7063926820024  ,  18.250941955969957, 54.791692528116116 , 8.075991838528472    , 53.85198498964398   , -6.072202120713405   , 208.69709138330447    , -22.162928655054742
 6496, Gaia DR3 2073651721382577152, 6.923067 , 3.2298873903323786   , 0.5331888     , 297.18401474535443   , 39.91674394273289    , 178.67397287367066 ,  18.25425352972952 , 54.781752558184024 , 19.195173654108956   , -37.37541366614433  , 35.152015234112746   ,  74.31703205351641    , 7.2131710937059905
 6497, Gaia DR3 6566237914427842944, 7.9095464, 4.216433296964939    , 0.7193632     , 326.1865988849541    , -42.12955383900525   , 178.66850063177668 ,  18.254812619275558, 54.78007475924916  , 33.75473920033577    , -22.6082633330425   , -36.74698084482654   , 358.73520066148774    , -49.080744254974405
 6498, Gaia DR3 3481640682167400064, 7.6363235, 3.943678536887749    , 0.6585059     , 170.39787973259266   , -31.52145850991612   , 178.62998628439098 ,  18.258748532888404, 54.76826619298464  , -46.03281296416577   , 7.78761974309834    , -28.633827741478445  , 281.0671238869225     , 27.587556971047057
 6499, Gaia DR3 2091495764301335424, 7.722045 , 4.030724122210209    , 0.68396807    , 281.12813719879244   , 33.99606072997491    , 178.52109738231255 ,  18.269885452335043, 54.73488066517635  , 8.75839413044849     , -44.52615383555008  , 30.604236933793167   ,  63.24634284987926    , 16.25191312398529
